time,latitude,longitude,depth,mag,plate_boundary_distance,plate_boundary_distance
2022-03-04T21:28:02.440Z,38.7596664,-122.7196655,1.61,1.24,56.36579997133084,56.36579997133084
2022-03-04T21:27:28.190Z,38.8338318,-122.8154984,1.82,1.13,53.55586106939538,53.55586106939538
2022-03-04T21:25:05.130Z,35.5966682,-120.2713318,11.57,2.31,34.44129343937026,34.44129343937026
2022-03-04T21:20:43.590Z,35.9291667,-117.6608333,3.25,0.88,156.31287358276427,156.31287358276427
2022-03-04T21:19:08.215Z,62.3602,-149.6345,9.8,1.4,393.7486248564091,393.7486248564091
2022-03-04T21:05:59.100Z,17.9613333333333,-66.8488333333333,13.23,2.37,200.3862178417069,200.3862178417069
2022-03-04T20:56:56.870Z,19.183666229248,-155.483001708984,30.7099990844727,1.83000004,3552.526911839426,3552.526911839426
2022-03-04T20:51:11.140Z,19.1878337860107,-155.487167358398,31.2399997711182,2.13000011,3552.4749504877677,3552.4749504877677
2022-03-04T20:47:42.018Z,63.1005,-144.4542,0.0,1.5,312.19149742694054,312.19149742694054
2022-03-04T20:16:28.690Z,17.9978333333333,-67.025,16.22,2.4,195.31698999968881,195.31698999968881
2022-03-04T20:10:30.440Z,19.175666809082,-155.465835571289,31.3400001525879,2.38,3551.983041533419,3551.983041533419
2022-03-04T19:51:22.560Z,33.069,-116.0461667,7.75,1.54,31.396199202661585,31.396199202661585
2022-03-04T19:49:21.540Z,38.8148346,-122.7726669,4.28,0.84,55.36441419259847,55.36441419259847
2022-03-04T19:34:18.960Z,33.467,-116.4743333,7.6,0.74,41.79756574354187,41.79756574354187
2022-03-04T19:30:29.837Z,61.7738,-150.7789,56.3,1.0,390.7235246926967,390.7235246926967
2022-03-04T19:22:58.890Z,35.8475,-117.6781667,8.58,0.69,147.12468045322157,147.12468045322157
